,runtime,log_budget,log_revenue,log_popularity,log_vote_count,num_genres,is_english,is_adult,is_summer,is_holiday,is_friday_release,has_budget,has_revenue,budget_tier,is_major_studio,dir_avg_rating,dir_movie_count,dir_max_rating,dir_experienced,dir_avg_votes,num_keywords,num_prod_companies,release_month,release_quarter,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,vote_average
834,84.0,0.0,0.0,2.296365793180129,5.662960480135946,2,0,0,0,1,0,0,0,0.0,1,5.578,1,5.578,0,287.0,3,2,12,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.578
835,94.0,15.623799493077952,0.0,2.6492905058952876,5.659482215759621,2,1,0,1,0,0,1,0,2.0,0,5.766,1,5.766,0,286.0,1,4,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.766
836,145.0,0.0,0.0,2.9523549335844224,5.655991810819852,2,0,0,0,0,0,0,0,0.0,0,7.361,1,7.361,0,285.0,3,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.361
837,7.0,0.0,0.0,2.0445912642440898,5.652489180268651,3,1,0,0,0,1,0,0,0.0,1,7.8,1,7.8,0,284.0,7,2,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.8
838,158.0,14.845130332288226,0.0,2.720242241867572,5.652489180268651,3,0,0,0,1,0,1,0,2.0,0,7.185,1,7.185,0,284.0,2,1,12,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.185
839,98.0,0.0,0.0,3.6965251511394848,5.652489180268651,3,1,0,0,0,1,0,0,0.0,0,6.5,1,6.5,0,284.0,5,2,4,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.5
840,100.0,0.0,0.0,2.0429072169518623,5.652489180268651,1,0,0,0,0,1,0,0,0.0,0,7.1,1,7.1,0,284.0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1
841,89.0,0.0,0.0,2.8325660757997775,5.652489180268651,2,1,0,0,0,1,0,0,0.0,0,6.118,1,6.118,0,284.0,21,2,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.118
842,102.0,15.424948670398354,13.03691877238623,2.8189354274027365,5.645446897643238,2,1,0,1,0,1,1,1,2.0,0,5.89,1,5.89,0,282.0,5,6,8,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.89
843,94.0,0.0,0.0,2.6106578550935606,5.645446897643238,3,1,0,0,0,0,0,0,0.0,0,7.7,1,7.7,0,282.0,14,3,9,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7
